player_id,name,team,age,games,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_pct,fg3_pct,ft_pct,plus_minus,off_rating,def_rating,net_rating,ts_pct,eff_fg_pct,usage,ast_pct,reb_pct,pie,games_missed_est,availability_pct,updated_at
1629599,Amir Coffey,LAC,28.0,72,24.3,9.7,2.2,1.1,0.6,0.1,0.6,0.471,0.409,0.891,-0.9,109.1,110.6,-1.4,0.614,0.57,0.15,0.065,0.046,0.072,0,144.0,2026-01-28T16:47:17.846073
203083,Andre Drummond,PHI,31.0,40,18.8,7.3,7.8,0.9,1.0,0.5,1.4,0.5,0.15,0.622,-6.1,103.4,118.9,-15.5,0.535,0.506,0.183,0.07,0.205,0.109,10,80.0,2026-01-28T16:47:17.846073
1641748,Andre Jackson Jr.,MIL,23.0,67,14.6,3.4,2.7,1.2,0.5,0.2,0.9,0.477,0.395,0.5,-0.5,110.6,112.1,-1.5,0.554,0.553,0.115,0.109,0.091,0.051,0,134.0,2026-01-28T16:47:17.846073
1629614,Andrew Nembhard,IND,25.0,65,28.9,10.0,3.3,5.0,1.2,0.2,1.7,0.458,0.291,0.794,3.1,115.5,110.2,5.3,0.545,0.506,0.163,0.225,0.057,0.081,0,130.0,2026-01-28T16:47:17.846073
203952,Andrew Wiggins,MIA,30.0,60,30.7,18.0,4.5,2.6,1.0,0.8,1.7,0.448,0.374,0.763,-1.7,109.4,111.7,-2.3,0.566,0.526,0.238,0.137,0.069,0.105,0,120.0,2026-01-28T16:47:17.846073
1629014,Anfernee Simons,POR,26.0,70,32.7,19.3,2.7,4.8,0.9,0.1,2.0,0.426,0.363,0.902,-3.1,108.8,113.4,-4.6,0.557,0.521,0.241,0.241,0.039,0.106,0,140.0,2026-01-28T16:47:17.846073
1641710,Anthony Black,ORL,21.0,78,24.2,9.4,2.9,3.1,1.1,0.6,1.8,0.423,0.318,0.761,-0.5,106.2,107.1,-0.9,0.521,0.473,0.19,0.201,0.061,0.084,0,156.0,2026-01-28T16:47:17.846073
203076,Anthony Davis,DAL,32.0,51,33.4,24.7,11.6,3.5,1.2,2.2,2.2,0.516,0.282,0.775,0.5,113.3,112.9,0.5,0.588,0.536,0.301,0.182,0.173,0.179,0,102.0,2026-01-28T16:47:17.846073
1630162,Anthony Edwards,MIN,23.0,79,36.3,27.6,5.7,4.5,1.2,0.6,3.2,0.447,0.395,0.837,3.7,116.2,111.4,4.8,0.595,0.547,0.307,0.209,0.077,0.14,0,158.0,2026-01-28T16:47:17.846073
1630264,Anthony Gill,WAS,32.0,51,7.8,2.5,1.3,0.3,0.2,0.0,0.2,0.489,0.323,0.66,-1.4,101.9,109.7,-7.8,0.586,0.545,0.124,0.059,0.077,0.071,0,102.0,2026-01-28T16:47:17.846073
1641817,Anton Watson,NYK,24.0,9,2.5,0.9,0.3,0.2,0.1,0.0,0.2,0.444,0.0,0.0,-1.0,103.9,119.2,-15.3,0.444,0.444,0.193,0.125,0.081,0.033,41,18.0,2026-01-28T16:47:17.846073
1641810,Antonio Reeves,NOP,24.0,44,15.0,6.9,1.4,0.9,0.5,0.1,0.7,0.456,0.395,0.8,-3.4,107.3,117.5,-10.2,0.579,0.558,0.183,0.089,0.047,0.072,6,88.0,2026-01-28T16:47:17.846073
1630574,Ariel Hukporti,NYK,23.0,25,8.7,1.9,2.0,0.4,0.0,0.6,0.8,0.677,0.0,0.462,-2.5,97.6,110.1,-12.4,0.654,0.677,0.113,0.075,0.112,0.048,25,50.0,2026-01-28T16:47:17.846073
1642422,Armel Traore,LAL,22.0,9,7.4,1.6,1.7,0.1,0.4,0.2,0.3,0.316,0.0,0.286,-5.4,81.9,119.3,-37.3,0.317,0.316,0.153,0.026,0.111,0.027,41,18.0,2026-01-28T16:47:17.846577
1641709,Ausar Thompson,DET,22.0,59,22.5,10.1,5.1,2.3,1.7,0.7,1.4,0.535,0.224,0.641,1.1,113.1,109.2,4.0,0.568,0.547,0.185,0.139,0.11,0.104,0,118.0,2026-01-28T16:47:17.846577
1630559,Austin Reaves,LAL,27.0,73,34.9,20.2,4.5,5.8,1.1,0.3,2.4,0.46,0.377,0.877,2.7,117.1,113.3,3.8,0.616,0.556,0.23,0.241,0.065,0.118,0,146.0,2026-01-28T16:47:17.846577
1630245,Ayo Dosunmu,CHI,25.0,46,30.3,12.3,3.5,4.5,0.9,0.4,1.5,0.492,0.328,0.785,-5.1,110.1,117.8,-7.7,0.585,0.561,0.163,0.21,0.054,0.084,4,92.0,2026-01-28T16:47:17.846577
1628389,Bam Adebayo,MIA,27.0,78,34.3,18.1,9.6,4.3,1.3,0.7,2.1,0.485,0.357,0.765,0.3,110.9,110.8,0.1,0.561,0.521,0.232,0.204,0.141,0.137,0,156.0,2026-01-28T16:47:17.846577
1631248,Baylor Scheierman,BOS,24.0,31,12.4,3.6,2.1,1.1,0.5,0.1,0.4,0.355,0.317,0.75,0.9,109.9,105.8,4.1,0.49,0.473,0.143,0.12,0.083,0.074,19,62.0,2026-01-28T16:47:17.846577
1641767,Ben Sheppard,IND,23.0,63,19.5,5.3,2.8,1.3,0.6,0.2,0.3,0.418,0.342,0.889,-0.9,111.2,113.4,-2.2,0.555,0.537,0.108,0.087,0.07,0.055,0,126.0,2026-01-28T16:47:17.846577
1627732,Ben Simmons,LAC,28.0,51,22.0,5.0,4.7,5.6,0.7,0.5,2.0,0.52,0.0,0.727,-1.1,111.7,113.5,-1.8,0.539,0.52,0.133,0.358,0.113,0.103,0,102.0,2026-01-28T16:47:17.846577
1631097,Bennedict Mathurin,IND,23.0,72,29.9,16.1,5.3,1.9,0.7,0.3,1.9,0.458,0.34,0.831,1.3,113.8,112.2,1.6,0.579,0.516,0.222,0.09,0.088,0.092,0,144.0,2026-01-28T16:47:17.846577
1641731,Bilal Coulibaly,WAS,20.0,59,33.0,12.3,5.0,3.4,1.3,0.7,2.1,0.421,0.281,0.746,-9.9,104.5,118.3,-13.8,0.515,0.472,0.175,0.15,0.07,0.07,0,118.0,2026-01-28T16:47:17.846577
202687,Bismack Biyombo,SAS,32.0,28,18.8,5.1,5.6,1.1,0.6,0.8,1.0,0.588,0.0,0.4,-3.6,108.7,117.9,-9.2,0.576,0.588,0.124,0.079,0.144,0.08,22,56.0,2026-01-28T16:47:17.846577
