player_id,player_name,game_date,opponent,points,rebounds,assists,minutes,sync_timestamp,source
2544,LeBron James,2024-11-27,SAS,16,10,11,33,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-11-26,PHX,18,8,10,35,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-11-23,DEN,18,6,7,35,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-11-21,ORL,31,10,7,37,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-11-19,UTA,26,2,12,34,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-11-16,NOP,21,7,5,37,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-11-15,SAS,15,16,12,38,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-11-13,MEM,35,12,14,37,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-11-10,TOR,19,10,16,35,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-11-08,PHI,21,12,13,34,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-11-06,MEM,39,7,6,35,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-11-04,DET,20,8,11,40,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-11-01,TOR,27,6,10,36,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-10-30,CLE,26,6,3,29,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-10-28,PHX,11,5,8,36,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-10-26,SAC,32,14,10,34,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-10-25,PHX,21,4,8,35,2026-01-28T19:08:01.025814,nba_api_incremental
2544,LeBron James,2024-10-22,MIN,16,5,4,35,2026-01-28T19:08:01.025814,nba_api_incremental
201142,Kevin Durant,2025-03-30,HOU,11,7,1,23,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-03-28,MIN,23,6,2,34,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-03-26,BOS,30,1,2,30,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-03-24,MIL,38,8,5,37,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-03-21,CLE,42,6,8,39,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-03-19,CHI,26,4,8,36,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-03-17,TOR,14,3,3,26,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-03-16,LAL,21,9,2,37,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-03-14,SAC,22,4,6,36,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-03-12,HOU,19,7,0,37,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-03-10,MEM,35,5,5,41,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-03-09,DAL,21,9,8,38,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-03-07,DEN,29,9,5,46,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-03-04,LAC,34,7,4,41,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-03-02,MIN,26,10,4,38,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-02-28,NOP,17,2,6,35,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-02-27,NOP,28,5,2,36,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-02-25,MEM,26,8,7,43,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-02-23,TOR,15,4,4,40,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-02-22,CHI,27,10,5,38,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-02-20,SAS,22,5,2,39,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-02-12,HOU,37,5,9,42,2026-01-28T19:08:02.228977,nba_api_incremental
201142,Kevin Durant,2025-02-11,MEM,34,3,3,43,2026-01-28T19:08:02.228977,nba_api_incremental
